platform,flightDirection,centerLat,centerLon,processingLevel,geometry
Sentinel-1B,DESCENDING,37.4486,-120.9719,METADATA_RAW,POINT (-120.9719 37.4486)
Sentinel-1B,DESCENDING,37.4486,-120.9719,RAW,POINT (-120.9719 37.4486)
Sentinel-1B,DESCENDING,37.6937,-121.0714,METADATA_SLC,POINT (-121.0714 37.6937)
Sentinel-1B,DESCENDING,37.6937,-121.0714,SLC,POINT (-121.0714 37.6937)
Sentinel-1B,DESCENDING,37.6958,-121.0894,GRD_HD,POINT (-121.0894 37.6958)
Sentinel-1B,DESCENDING,37.6958,-121.0894,METADATA_GRD_HD,POINT (-121.0894 37.6958)
Sentinel-1B,DESCENDING,37.6958,-121.0894,METADATA_OCN,POINT (-121.0894 37.6958)
Sentinel-1B,DESCENDING,37.6958,-121.0894,OCN,POINT (-121.0894 37.6958)
Sentinel-1B,ASCENDING,38.4872,-122.7218,METADATA_RAW,POINT (-122.7218 38.4872)
Sentinel-1B,ASCENDING,38.4872,-122.7218,RAW,POINT (-122.7218 38.4872)
Sentinel-1B,ASCENDING,36.9786,-122.3871,METADATA_RAW,POINT (-122.3871 36.9786)
Sentinel-1B,ASCENDING,36.9786,-122.3871,RAW,POINT (-122.3871 36.9786)
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_STD,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_AMP,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_COH,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_CON,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_UNW,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_STD,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_AMP,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_COH,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_CON,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_UNW,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_STD,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_AMP,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_COH,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_CON,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_UNW,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_STD,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_AMP,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_COH,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_CON,POINT EMPTY
Sentinel-1 Interferogram (BETA),ascending,,,GUNW_UNW,POINT EMPTY
Sentinel-1B,ASCENDING,37.2313,-122.2623,METADATA_SLC,POINT (-122.2623 37.2313)
Sentinel-1B,ASCENDING,37.2313,-122.2623,SLC,POINT (-122.2623 37.2313)
Sentinel-1B,ASCENDING,37.2259,-122.2511,GRD_HD,POINT (-122.2511 37.2259)
Sentinel-1B,ASCENDING,37.2259,-122.2511,METADATA_GRD_HD,POINT (-122.2511 37.2259)
Sentinel-1B,ASCENDING,37.2259,-122.2511,METADATA_OCN,POINT (-122.2511 37.2259)
Sentinel-1B,ASCENDING,37.2259,-122.2511,OCN,POINT (-122.2511 37.2259)
Sentinel-1A,DESCENDING,37.3625,-123.0483,METADATA_RAW,POINT (-123.0483 37.3625)
Sentinel-1A,DESCENDING,37.3625,-123.0483,RAW,POINT (-123.0483 37.3625)
Sentinel-1 Interferogram (BETA),descending,,,GUNW_STD,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_AMP,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_COH,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_CON,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_UNW,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_STD,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_AMP,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_COH,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_CON,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_UNW,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_STD,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_AMP,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_COH,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_CON,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_UNW,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_STD,POINT EMPTY
Sentinel-1 Interferogram (BETA),descending,,,GUNW_AMP,POINT EMPTY
